series,hill_shape,half_saturation_ratio,half_saturation,cv_rmse,tv_contribution,relative_bias
noisy,1.5,0.380688301,20.82836163,31.30447036,139118.1383,1.675914221
noisy,1.5,0.4121471388,22.5495494,31.26189963,128624.9361,1.474079224
noisy,1.5,0.4462056322,24.41297052,31.22152021,119129.744,1.291440785
noisy,1.5,0.4830786083,26.43037866,31.18366581,110532.6123,1.126076388
noisy,1.5,0.5229986467,28.61449883,31.14860169,102745.6365,0.9762952056
noisy,1.5,0.5662175466,30.97910756,31.1165208,95691.17337,0.8406037827
noisy,1.5,0.6130079154,33.53911982,31.08754415,89300.29253,0.7176762542
noisy,1.5,0.6636648873,36.31068314,31.06172458,83511.45966,0.606329018
noisy,1.5,0.718507986,39.3112794,31.03905308,78269.44003,0.5054996434
noisy,1.5,0.7778831392,42.55983514,31.01946655,73524.40191,0.4142296255
noisy,1.5,0.8421648612,46.07684091,31.00271214,69231.19398,0.3316504859
noisy,1.5,0.9117586147,49.88448055,30.98624136,65348.76776,0.2569726642
noisy,1.5,0.9871033687,54.00677109,30.9723956,61839.71611,0.1894766402
noisy,1.5,1.068674367,58.46971426,30.9610132,58669.90083,0.1285057713
noisy,1.5,1.156986126,63.30146048,30.9519131,55808.14653,0.07346040376
noisy,1.5,1.252595681,68.53248642,30.94490017,53225.98213,0.02379290158
noisy,1.5,1.356106097,74.19578726,30.93977026,50897.41627,-0.02099667489
noisy,1.5,1.468170276,80.32708479,30.93631494,48798.73658,-0.06136442919
noisy,1.5,1.589495072,86.96505272,30.93432595,46908.32644,-0.09772615344
noisy,1.5,1.720845753,94.15156064,30.93359929,45206.49523,-0.1304605933
noisy,1.5,1.863050826,101.9319381,30.93393879,43675.31996,-0.1599124946
noisy,1.5,2.017007261,110.3552605,30.93515927,42298.49713,-0.1863954524
noisy,1.5,2.183686153,119.4746588,30.93708893,41061.20454,-0.2101945693
noisy,1.5,2.364138845,129.3476544,30.93957121,39949.97287,-0.2315689253
noisy,1.5,2.559503557,140.0365221,30.94246595,38952.56692,-0.2507538626
noisy,1.5,2.771012572,151.6086829,30.94564989,38057.87644,-0.2679630851
noisy,1.5,3,164.1371293,30.94901671,37255.81612,-0.2833905817
noisy,1.6,0.3,16.41371293,31.49620272,179383.5124,2.450411986
noisy,1.6,0.3247910202,17.77008856,31.44628716,164186.5708,2.158101344
noisy,1.6,0.3516306893,19.23855064,31.39768507,150538.7105,1.895587024
noisy,1.6,0.380688301,20.82836163,31.35102082,138263.7132,1.659479496
noisy,1.6,0.4121471388,22.5495494,31.30525267,127209.5137,1.44685381
noisy,1.6,0.4462056322,24.41297052,31.25667745,117244.8088,1.25518437
noisy,1.6,0.4830786083,26.43037866,31.21128854,108255.9437,1.082285048
noisy,1.6,0.5229986467,28.61449883,31.16944831,100144.1056,0.9262551934
noisy,1.6,0.5662175466,30.97910756,31.13141218,92822.85248,0.7854321081
noisy,1.6,0.6130079154,33.53911982,31.09733047,86215.99709,0.6583503451
noisy,1.6,0.6636648873,36.31068314,31.06725602,80255.84797,0.5437078693
noisy,1.6,0.718507986,39.3112794,31.04115569,74881.7893,0.4403387459
noisy,1.6,0.7778831392,42.55983514,31.01892365,70039.16576,0.3471916886
noisy,1.6,0.8421648612,46.07684091,31.00000452,65678.42562,0.2633135783
noisy,1.6,0.9117586147,49.88448055,30.98194829,61754.47078,0.1878369605
noisy,1.6,0.9871033687,54.00677109,30.96710581,58226.16333,0.1199705543
noisy,1.6,1.068674367,58.46971426,30.95525238,55055.94405,0.05899191434
noisy,1.6,1.156986126,63.30146048,30.94614115,52209.52647,0.004241546252
noisy,1.6,1.252595681,68.53248642,30.93950992,49655.63938,-0.04488204647
noisy,1.6,1.356106097,74.19578726,30.93508767,47365.79892,-0.08892674644
noisy,1.6,1.468170276,80.32708479,30.9326006,45314.09852,-0.1283908618
noisy,1.6,1.589495072,86.96505272,30.93177796,43477.01045,-0.163726945
noisy,1.6,1.720845753,94.15156064,30.93235739,41833.19596,-0.1953454429
noisy,1.6,1.863050826,101.9319381,30.93408959,40363.32371,-0.2236181907
noisy,1.6,2.017007261,110.3552605,30.93674234,39049.89701,-0.2488817347
noisy,1.6,2.183686153,119.4746588,30.94010348,37877.09083,-0.2714404662
